"Genomes","Category","BUSCO_Score"
"G. raimondii","Complete & Duplicate Copy",8.8
"G. raimondii","Complete & Single Copy",89.7
"G. raimondii","Fragmented",0.7
"G. raimondii","Missing",0.8
"C. sativa","Complete & Duplicate Copy",30.5
"C. sativa","Complete & Single Copy",64.2
"C. sativa","Fragmented",0.4
"C. sativa","Missing",4.9
"A. hypogaea","Complete & Duplicate Copy",78.6
"A. hypogaea","Complete & Single Copy",12.5
"A. hypogaea","Fragmented",0.4
"A. hypogaea","Missing",8.5
"M. truncatula A17","Complete & Duplicate Copy",2.5
"M. truncatula A17","Complete & Single Copy",96
"M. truncatula A17","Fragmented",0.5
"M. truncatula A17","Missing",1
"M. truncatula R108","Complete & Duplicate Copy",2.7
"M. truncatula R108","Complete & Single Copy",89.8
"M. truncatula R108","Fragmented",2.7
"M. truncatula R108","Missing",4.8
"G. max","Complete & Duplicate Copy",60.2
"G. max","Complete & Single Copy",39.1
"G. max","Fragmented",0.1
"G. max","Missing",0.6
"P. vulgaris","Complete & Duplicate Copy",1.7
"P. vulgaris","Complete & Single Copy",96.9
"P. vulgaris","Fragmented",0.5
"P. vulgaris","Missing",0.9
"V. unguiculata","Complete & Duplicate Copy",2.7
"V. unguiculata","Complete & Single Copy",95.4
"V. unguiculata","Fragmented",0.7
"V. unguiculata","Missing",1.2
"O. sativa","Complete & Duplicate Copy",1.8
"O. sativa","Complete & Single Copy",82.6
"O. sativa","Fragmented",4.9
"O. sativa","Missing",10.7
"B. distachyon","Complete & Duplicate Copy",1.5
"B. distachyon","Complete & Single Copy",97.1
"B. distachyon","Fragmented",0.4
"B. distachyon","Missing",1
"T. aestivum","Complete & Duplicate Copy",97.9
"T. aestivum","Complete & Single Copy",1.6
"T. aestivum","Fragmented",0.1
"T. aestivum","Missing",0.4
"H. vulgare","Complete & Duplicate Copy",5.2
"H. vulgare","Complete & Single Copy",76.9
"H. vulgare","Fragmented",4.4
"H. vulgare","Missing",13.5
"S. bicolor","Complete & Duplicate Copy",1.6
"S. bicolor","Complete & Single Copy",97.2
"S. bicolor","Fragmented",0.3
"S. bicolor","Missing",0.9
"Z. mays B73","Complete & Duplicate Copy",14.5
"Z. mays B73","Complete & Single Copy",80.9
"Z. mays B73","Fragmented",1.5
"Z. mays B73","Missing",3.1
"Z. mays PH207","Complete & Duplicate Copy",11
"Z. mays PH207","Complete & Single Copy",76.8
"Z. mays PH207","Fragmented",5.5
"Z. mays PH207","Missing",6.7
"Z. mays W22","Complete & Duplicate Copy",13
"Z. mays W22","Complete & Single Copy",79
"Z. mays W22","Fragmented",3
"Z. mays W22","Missing",5
"Z. mays Mo17","Complete & Duplicate Copy",13.9
"Z. mays Mo17","Complete & Single Copy",77.5
"Z. mays Mo17","Fragmented",3.1
"Z. mays Mo17","Missing",5.5
